Lp.,Oddział NFZ,Krótka nazwa Oddziału NFZ,Świadczeniodawca - Nazwa,Świadczeniodawca - Miejscowość,Świadczeniodawca - Adres,Świadczeniodawca - Telefon,Świadczeniodawca - adres mailowy
215,07,Mazowiecki  OW NFZ,SAMODZIELNY PUBLICZNY ZESPÓŁ ZAKŁADÓW OPIEKI ZDROWOTNEJ W PIONKACH IM. LECHA I MARII KACZYŃSKICH - PARY PREZYDENCKIEJ,PIONKI,SIENKIEWICZA 29,48 612 13 81,SPZZOZ@SPZZOZPIONKI.PL
216,07,Mazowiecki  OW NFZ,SAMODZIELNY PUBLICZNY  ZESPÓŁ ZAKŁADÓW OPIEKI ZDROWOTNEJ W LIPSKU,LIPSKO,JĘDRZEJA ŚNIADECKIEGO 2,48 378 36 00,67099777300000@ZOZ.ORG.PL
217,07,Mazowiecki  OW NFZ,SAMODZIELNY PUBLICZNY ZESPÓŁ ZAKŁADÓW OPIEKI ZDROWOTNEJ W PRZYSUSZE,PRZYSUCHA,ALEJA JANA PAWŁA II 9A,048 383-35-00,SEKRETARIAT@SPZZOZPRZYSUCHA.PL
218,07,Mazowiecki  OW NFZ,SAMODZIELNY PUBLICZNY ZESPÓŁ ZAKŁADÓW OPIEKI ZDROWOTNEJ W KOZIENICACH,KOZIENICE,AL. WŁ. SIKORSKIEGO 10,48 38-28-800,SEKRETARIAT@SZPITALKOZIENICE.PL
219,07,Mazowiecki  OW NFZ,SAMODZIELNY PUBLICZNY ZESPÓŁ ZAKŁADÓW OPIEKI ZDROWOTNEJ - SZPITAL W IŁŻY,IŁŻA,BODZENTYŃSKA 17,048/ 616 30 63,SZRILZA@SZPITALILZA.COM.PL
220,07,Mazowiecki  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W NOWYM MIEŚCIE NAD PILICĄ,NOWE MIASTO NAD PILICĄ,TOMASZOWSKA 43 43,048/ 674 38 00,SEKRETARIAT@ZOZ-NOWEMIASTO.NET
221,07,Mazowiecki  OW NFZ,SPECJALISTYCZNY SZPITAL WOJEWÓDZKI W CIECHANOWIE,CIECHANÓW,POWSTAŃCÓW WIELKOPOLSKICH 2,023/ 672 32 71/4,SEKRETARIAT@SZPITALCIECHANOW.COM.PL
222,07,Mazowiecki  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W MŁAWIE,MŁAWA,DR ANNY DOBRSKIEJ 1,023/654-32-35,SEKRETARIAT@SZPITALMLAWA.PL
223,07,Mazowiecki  OW NFZ,SAMODZIELNY PUBLICZNY ZESPÓŁ ZAKŁADÓW OPIEKI ZDROWOTNEJ IM. MARSZAŁKA JÓZEFA PIŁSUDSKIEGO W PŁOŃSKU,PŁOŃSK,HENRYKA SIENKIEWICZA 7,23 661 34 00,SEKRETARIAT@SZPITALPLONSK.PL
224,07,Mazowiecki  OW NFZ,SAMODZIELNY PUBLICZNY ZESPÓŁ ZAKŁADÓW OPIEKI ZDROWOTNEJ W SIERPCU,SIERPC,JULIUSZA SŁOWACKIEGO 32,024-275-85-01,SEKRETARIAT@SPZZOZSIERPC.PL
225,07,Mazowiecki  OW NFZ,WOJEWÓDZKI SZPITAL ZESPOLONY W PŁOCKU,PŁOCK,MEDYCZNA 19,(024) 36 46 100,SEKRETARIAT@WSZPLOCK.PL
226,07,Mazowiecki  OW NFZ,WOJSKOWY INSTYTUT MEDYCZNY,WARSZAWA,SZASERÓW 128,261 817 666,DYREKCJA@WIM.MIL.PL
227,07,Mazowiecki  OW NFZ,PŁOCKI ZAKŁAD OPIEKI ZDROWOTNEJ SP. Z O.O.,PŁOCK,TADEUSZA KOŚCIUSZKI 28,0243645100,SEKRETARIAT@PLOCKIZOZ.PL
228,07,Mazowiecki  OW NFZ,ARION MED SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,LUBLIN,ZWIĄZKOWA 4,24 236 09 00,SEKRETARIAT@ARIONMED.PL
229,07,Mazowiecki  OW NFZ,MAZOWIECKI SZPITAL SPECJALISTYCZNY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,RADOM,JULIANA ALEKSANDROWICZA 5,48 361 39 00,SZPITAL@WSS.COM.PL
230,07,Mazowiecki  OW NFZ,POWIATOWE CENTRUM MEDYCZNE W GRÓJCU SPÓŁKA Z O.O.,GRÓJEC,KS. PIOTRA SKARGI 10,48/ 664 91 00,SEKRETARIAT@PCMG.PL
231,07,Mazowiecki  OW NFZ,SZPITAL SOLEC SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,WARSZAWA,SOLEC 93,22-250 62 48,SZPITAL.SOLEC@CMSOLEC.PL
232,07,Mazowiecki  OW NFZ,MAZOWIECKI SZPITAL BRÓDNOWSKI W WARSZAWIE SP. Z O.O.,WARSZAWA,KONDRATOWICZA 8,"(22) 326-59-87, 326-58-00",SEKRETARIAT-MED@BRODNOWSKI.PL; DOM@BRODNOWSKI.PL
233,07,Mazowiecki  OW NFZ,MAZOWIECKI SZPITAL WOJEWÓDZKI IM. ŚW. JANA PAWŁA II W SIEDLCACH  SP. Z O.O.,SIEDLCE,PONIATOWSKIEGO 26,25 6403214,SEKRETARIAT@SZPITAL.SIEDLCE.PL
234,07,Mazowiecki  OW NFZ,MAZOWIECKIE CENTRUM REHABILITACJI STOCER SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,KONSTANCIN-JEZIORNA,WIERZEJEWSKIEGO 12,227119000,STOCER@STOCER.PL
235,07,Mazowiecki  OW NFZ,NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ SZPITAL ŚW. ANNY W PIASECZNIE,PIASECZNO,MICKIEWICZA 39,(022)735-41-00,PIASECZNO@EMC-SA.PL
236,07,Mazowiecki  OW NFZ,CENTRUM ZDROWIA MAZOWSZA ZACHODNIEGO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ŻYRARDÓW,B. LIMANOWSKIEGO 30/.,46 8552011,SEKRETARIAT@SZPITALZYRARDOW.PL
237,07,Mazowiecki  OW NFZ,POWIATOWE CENTRUM ZDROWIA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W RESTRUKTURYZACJI,OTWOCK,BATOREGO 44,22 778-26-10,SEKRETARIAT@PCZ-OTWOCK.PL
238,07,Mazowiecki  OW NFZ,SZPITAL GROCHOWSKI IM. DR MED. RAFAŁA MASZTAKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚĆIĄ,WARSZAWA,GRENADIERÓW 51/59,22 810 42 09,SZPITAL@GROCHOWSKI.WAW.PL
239,07,Mazowiecki  OW NFZ,SZPITAL PRASKI P.W. PRZEMIENIENIA PAŃSKIEGO,WARSZAWA,AL. SOLIDARNOŚCI 67,+48 22 555 1222,SEKRETARIAT@PRASKI.WAW.PL
240,07,Mazowiecki  OW NFZ,SZPITAL POWIATOWY GAJDA-MED SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,PUŁTUSK,TEOFILA KWIATKOWSKIEGO 19,23 6919901,SEKRETARIAT@SZPITAL.PULTUSK.PL
241,07,Mazowiecki  OW NFZ,LUX MED. ONKOLOGIA SP.Z O.O.,WARSZAWA,SZAMOCKA 6,22 469 83 55,sekretariat.onkologia@luxmed.pl
242,08,Opolski  OW NFZ,SZPITAL W BIAŁEJ,BIAŁA,MONIUSZKI 8,+48 77 438 70 33,stankala@o2.pl 
243,08,Opolski  OW NFZ,BRZESKIE CENTRUM MEDYCZNE,BRZEG,SERGIUSZA MOSSORA 1,(077)444 66 66,d.sinkowska@bcmbrzeg.pl
244,08,Opolski  OW NFZ,SZPITAL POWIATOWY W GŁUBCZYCACH,GŁUBCZYCE,SKŁODOWSKIEJ 26,(077)480 11 70,barbara.apczynska@szpitalglubczyce.pl
245,08,Opolski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ SZPITAL SPECJALISTYCZNY MINISTERSTWA SPRAW WEWNĘTRZNYCH I ADMINISTRACJI W GŁUCHOŁ,GŁUCHOŁAZY,KARŁOWICZA 40,(077)408 01 55,mga@szpitalmsw-glucholazy.pl
246,08,Opolski  OW NFZ,SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ W KĘDZIERZYNIE-KOŹLU,KĘDZIERZYN-KOŹLE,24 KWIETNIA 5,+48 774 062 500,kwantula@e-szpital.eu
247,08,Opolski  OW NFZ,OPOLSKIE CENTRUM REHABILITACJI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,KORFANTÓW,WYZWOLENIA 11,(077)434 40 00,r.misztal.ocr@interia.pl
248,08,Opolski  OW NFZ,ZESPÓŁ OPIEKI ZDROWOTNEJ W NYSIE,NYSA,BOHATERÓW WARSZAWY 34,,epidemiologia@zoznysa.pl
249,08,Opolski  OW NFZ,ZESPÓŁ OPIEKI ZDROWOTNEJ W OLEŚNIE,OLESNO,KLONOWA 1,(034)350 96 65,pieepi@szpitalolesno.pl
250,08,Opolski  OW NFZ,116 SZPITAL WOJSKOWY Z PRZYCHODNIĄ SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ,OPOLE,WALEREGO WRÓBLEWSKIEGO 46,(077)449 51 29,pnacz@116szpital.opole.pl
251,08,Opolski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ MINISTERSTWA SPRAW WEWNĘTRZNYCH I ADMINISTRACJI W OPOLU,OPOLE,KRAKOWSKA 44,+48 77 401 11 72,ahytrek@spzozmswia.opole.pl
252,08,Opolski  OW NFZ,SZPITAL WOJEWÓDZKI W OPOLU SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,OPOLE,AUGUSTYNA KOŚNEGO 53,,epidemiologia@szpital.opole.pl
253,08,Opolski  OW NFZ,WOJEWÓDZKI SZPITAL SPECJALISTYCZNY IM. ŚW. JADWIGI W OPOLU,OPOLE,WODOCIĄGOWA 4,,m.widera@wszn.opole.pl
254,08,Opolski  OW NFZ,UNIWERSYTECKI SZPITAL KLINICZNY W OPOLU,OPOLE,ALEJA WINCENTEGO WITOSA 26,+48 77 452 07 45,zofia.maj-twardy@usk.opole.pl
255,08,Opolski  OW NFZ,SZPITAL POWIATOWY IM. PRAŁATA J. GLOWATZKIEGO W STRZELCACH OPOLSKICH,STRZELCE OPOLSKIE,OPOLSKA 36A,(077)461 32 91,jolanta.jokiel@szpital.strzelce-op.pl
256,08,Opolski  OW NFZ,EMC INSTYTUT MEDYCZNY SPÓŁKA AKCYJNA SZPITAL ŚWIĘTEGO ROCHA W OZIMKU,OZIMEK ,CZĘSTOCHOWSKA 31,+48 77 427 34 00,malgorzata.ziewiecka@emc-sa.pl
257,08,Opolski  OW NFZ,POWIATOWE CENTRUM ZDROWIA S.A SZPITAL POWIATOWY,KLUCZBORK,SKŁODOWSKIEJ-CURIE 23,+48 77 417 35 00;+48 604 468 854,naczelna@pczszpitalkl.nazwa.pl
258,08,Opolski  OW NFZ,PRUDNICKIE CENTRUM MEDYCZNE SPÓŁKA AKCYJNA - NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W PRUDNIKU,PRUDNIK,SZPITALNA 14,(077)406 78 85,m.jablonska@pcm.prudnik.pl
259,08,Opolski  OW NFZ,KRAPKOWICKIE CENTRUM ZDROWIA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,KRAPKOWICE,OSIEDLE XXX LECIA 21,(077)446 72 28,szczepienia@kcz.krapkowice.pl
260,08,Opolski  OW NFZ,NAMYSŁOWSKIE CENTRUM ZDROWIA SPÓŁKA AKCYJNA,NAMYSŁÓW,OLEŚNICKA 4,,archiwum@zoznamyslow.pl
261,09,Podkarpacki  OW NFZ,ZESPÓŁ OPIEKI ZDROWOTNEJ W DĘBICY,DĘBICA,KRAKOWSKA 91,(014)670 30 20,info@zoz-debica.pl
262,09,Podkarpacki  OW NFZ,CENTRUM OPIEKI MEDYCZNEJ,JAROSŁAW,3 MAJA 70,(016)621 54 21,sekretariat@comjar.pl
263,09,Podkarpacki  OW NFZ,SZPITAL SPECJALISTYCZNY W JAŚLE,JASŁO,LWOWSKA 22,(013)443 75 03,szpital@szpital.jaslo.pl
264,09,Podkarpacki  OW NFZ,SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ,KOLBUSZOWA,GRUNWALDZKA 4,(017)227 12 22,sekretariat@szpital.kolbuszowa.pl
265,09,Podkarpacki  OW NFZ,SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ W LESKU,LESKO,KAZIMIERZA WIELKIEGO 4,(013)469 80 71,spzoz@spzozlesko.pl
266,09,Podkarpacki  OW NFZ,SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ W LEŻAJSKU,LEŻAJSK,LEŚNA 22,(017)240 47 65,sekretariat@spzoz-lezajsk.pl
267,09,Podkarpacki  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W LUBACZOWIE,LUBACZÓW,ADAMA MICKIEWICZA 168,(016)632 81 00,sekretariat@szpital.lubczowski.com
268,09,Podkarpacki  OW NFZ,SZPITAL SPECJALISTYCZNY IM. EDMUNDA BIERNACKIEGO W MIELCU,MIELEC,ŻEROMSKIEGO 22,(017)780 01 00,sekretariat@szpital.mielec.pl
269,09,Podkarpacki  OW NFZ,SZPITAL SPECJALISTYCZNY W BRZOZOWIE PODKARPACKI OŚRODEK ONKOLOGICZNY IM. KS. B. MARKIEWICZA,BRZOZÓW,KS. JÓZEFA BIELAWSKIEGO 18,(013)430 95 52,onkologia@szpital-brzozow.pl
270,09,Podkarpacki  OW NFZ,SAMODZIELNY PUBLICZNY ZESPÓŁ ZAKŁADÓW OPIEKI ZDROWOTNEJ W NISKU,NISKO,TADEUSZA KOŚCIUSZKI 1,(015)841 67 03,info@szpital-nisko.pl
271,09,Podkarpacki  OW NFZ,SZPITAL POWIATOWY,NOWA DĘBA,M.C.SKŁODOWSKIEJ 1A,(015)846 26 51,sekretariat@zoznowadeba.pl
272,09,Podkarpacki  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ,PRZEWORSK,SZPITALNA 16,(016)649 15 00,sekretariat@spzoz-przeworsk.pl
273,09,Podkarpacki  OW NFZ,ZESPÓŁ OPIEKI ZDROWOTNEJ,ROPCZYCE,KSIĘDZA KARDYNAŁA STEFANA WYSZYŃSKIEGO 54,+48 17 221 86 16,zozropczyce@pro.onet.pl
274,09,Podkarpacki  OW NFZ,SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ NR 1 W RZESZOWIE,RZESZÓW,TADEUSZA CZACKIEGO 2,(017)853 58 70,biuro@spzoz1.rzeszow.pl
275,09,Podkarpacki  OW NFZ,"SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ ""SANATORIUM"" IM. JANA PAWŁA II W GÓRNIE",GÓRNO,RZESZOWSKA 5,(017)772 89 33,biuro@gorno.eu
276,09,Podkarpacki  OW NFZ,SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ W SANOKU,SANOK,800-LECIA 26,(013)465 61 00,szpital@zozsanok.pl
277,09,Podkarpacki  OW NFZ,SAMODZIELNY PUBLICZNY ZESPÓŁ ZAKŁADÓW OPIEKI ZDROWOTNEJ POWIATOWY SZPITAL SPECJALISTYCZNY W STALOWEJ WOLI,STALOWA WOLA,STASZICA 4,(015)843 32 05,sekretariat@szpital-stw.com
278,09,Podkarpacki  OW NFZ,ZESPÓŁ OPIEKI ZDROWOTNEJ W STRZYŻOWIE,STRZYŻÓW,DĄBROWSKIEGO 10,(017)276 11 07,sekretariat@zozstrzyzow.pl
279,09,Podkarpacki  OW NFZ,SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ W USTRZYKACH DOLNYCH,USTRZYKI DOLNE,29 LISTOPADA 57,(013)461 10 11,sekretariat@spzoz-ustrzyki.pl
280,09,Podkarpacki  OW NFZ,WOJEWÓDZKI SZPITAL IM. ŚW.OJCA PIO W PRZEMYŚLU,PRZEMYŚL,MONTE CASSINO 18,+48 16 677 50 00,sekretariat@wszp.pl
281,09,Podkarpacki  OW NFZ,WOJEWÓDZKI SZPITAL IM. ZOFII Z ZAMOYSKICH TARNOWSKIEJ W TARNOBRZEGU,TARNOBRZEG,SZPITALNA 1,(015)812 30 01,sekretariat@szpitaltbg.pl
282,09,Podkarpacki  OW NFZ,WOJEWÓDZKI SZPITAL PODKARPACKI IM. JANA PAWŁA II W KROŚNIE,KROSNO,KORCZYŃSKA 57,+48 13 437 85 86,szpital@krosno.med.pl
283,09,Podkarpacki  OW NFZ,KLINICZNY SZPITAL WOJEWÓDZKI NR 1 IM. FRYDERYKA CHOPINA W RZESZOWIE,RZESZÓW,FRYDERYKA SZOPENA 2,(017)866 60 01,sekretariat@szpital.rzeszow.pl
284,09,Podkarpacki  OW NFZ,KLINICZNY SZPITAL WOJEWÓDZKI NR 2 IM. ŚW. JADWIGI KRÓLOWEJ W RZESZOWIE,RZESZÓW,LWOWSKA 60,(017)866 44 44,sekretariat@szpital2.rzeszow.pl
285,09,Podkarpacki  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ MINISTERSTWA SPRAW WEWNĘTRZNYCH I ADMINISTRACJI W RZESZOWIE,RZESZÓW,KRAKOWSKA 16,(017)853 27 70,iod@szpitalmsw.rzeszow.pl
286,09,Podkarpacki  OW NFZ,POLSKO-AMERYKAŃSKIE KLINIKI SERCA CENTRUM SERCOWO NACZYNIOWE AMBULATORYJNA OPIEKA SPECJALISTYCZNA W MIELCU,MIELEC,ŻEROMSKIEGO 22,(017)780 03 47,sekretariat@szpital.mielec.pl
287,09,Podkarpacki  OW NFZ,CENTRUM MEDYCZNE W ŁAŃCUCIE SP. Z O.O.,ŁAŃCUT,IGNACEGO PADEREWSKIEGO 5,(017)224 01 21,sekretariat@cm-lancut.pl
288,09,Podkarpacki  OW NFZ,SZPITAL SPECJALISTYCZNY PRO-FAMILIA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,RZESZÓW,WITOLDA 6B,(017)717 50 48,sekretariat@pro-familia.pl
289,09,Podkarpacki  OW NFZ,NOWE TECHNIKI MEDYCZNE SZPITAL SPECJALISTYCZNY IM. ŚW RODZINY SP. Z O.O.,RUDNA MAŁA,600,+48 17 866 67 00,sekretariat@klinika-rzeszow.pl
290,10,Podlaski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ MINISTERSTWA SPRAW WEWNĘTRZNYCH I ADMINISTRACJI W BIAŁYMSTOKU IM. MARIANA ZYNDRAMA-KOŚCIAŁKOWSKIEGO,BIAŁYSTOK,FABRYCZNA 27,085 8694967,sekretariat@zozmswia.bialystok.pl
291,10,Podlaski  OW NFZ,SZPITAL OGÓLNY IM. DR WITOLDA GINELA W GRAJEWIE,GRAJEWO,KONSTYTUCJI 3 MAJA 34,(86) 272-32-71,sekretariat@szpital-grajewo.pl 
292,10,Podlaski  OW NFZ,SZPITAL WOJEWÓDZKI IM.KARDYNAŁA STEFANA WYSZYŃSKIEGO,ŁOMŻA,AL. MARSZ. JÓZEFA PIŁSUDSKIEGO 11,086 473-36-26,szczepienia.covid@szpital-lomza.pl 
293,10,Podlaski  OW NFZ,UNIWERSYTECKI SZPITAL KLINICZNY W BIAŁYMSTOKU,BIAŁYSTOK,M.C.SKŁODOWSKIEJ 24 A,(0-85) 831-80-00,szczepienia@uskwb.pl 
294,10,Podlaski  OW NFZ,SZPITAL WOJEWÓDZKI IM. DR. LUDWIKA RYDYGIERA W SUWAŁKACH,SUWAŁKI,SZPITALNA 60,87 56 29 421,wojewodzki@szpital.suwalki.pl
295,10,Podlaski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W AUGUSTOWIE,AUGUSTÓW,SZPITALNA 12,(87) 644 42 84,sekretariat@spzoz.augustow.pl
296,10,Podlaski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W SEJNACH,SEJNY,DR  E. RITTLERA 2,87 517 23 14,sekretariat@szpital.sejny.pl
297,10,Podlaski  OW NFZ,SP ZOZ WOJEWÓDZKI SZPITAL ZESPOLONY IM. J. ŚNIADECKIEGO,BIAŁYSTOK,M. SKŁODOWSKIEJ- CURIE 26,(0-85) 748-85-00,epidemiologia@sniadecja.pl 
298,10,Podlaski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W HAJNÓWCE,HAJNÓWKA,DOC. ADAMA DOWGIRDA 9,(0-85) 682-92-02,jjozwik@spzoz.hanowka.pl 
299,10,Podlaski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W ŁAPACH,ŁAPY,JANUSZA KORCZAKA 23,(085) 814-24-39,sekretariat@szpitallapy.pl
300,10,Podlaski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W SOKÓŁCE,SOKÓŁKA,GEN. WŁADYSŁAWA SIKORSKIEGO 40,(0 85) 722-04-63,kadry@szpitalsokolka.pl 
301,10,Podlaski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W BIELSKU PODLASKIM,BIELSK PODLASKI,KLESZCZELOWSKA 1,85 833 43 30,e.galuszewska@spzoz-bielsk.pl
302,10,Podlaski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W DĄBROWIE BIAŁOSTOCKIEJ,DĄBROWA BIAŁOSTOCKA,M. C. SKŁODOWSKIEJ 15,(0-85) 712-12-06,spzoz@home.pl
303,10,Podlaski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W MOŃKACH,MOŃKI,NIEPODLEGŁOŚCI 9,668877590,epidemiologia@szpital-monki.h2.pl
304,10,Podlaski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W SIEMIATYCZACH,SIEMIATYCZE,SZPITALNA 8,(0-85) 655-28-25,spzozsiemiatycze@gmail.com
305,10,Podlaski  OW NFZ,SZPITAL OGÓLNY W KOLNIE,KOLNO,WOJSKA POLSKIEGO 69,86-2782350,sekretariat@szpitalkolno.pl
306,10,Podlaski  OW NFZ,SZPITAL OGÓLNY W WYSOKIEM MAZOWIECKIEM,WYSOKIE MAZOWIECKIE,SZPITALNA 5,086 4775501,rum@szpitalwysmaz.pl
307,10,Podlaski  OW NFZ,SAMODZIELNY SZPITAL MIEJSKI IM. PCK,BIAŁYSTOK,SIENKIEWICZA 79,85 664 85 19,nfz@szpitalpck.pl
308,10,Podlaski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ IM. DR E. JELSKIEGO,KNYSZYN,GRODZIEŃSKA 96,"085 71 67 624, 085 72 79 172",spzoz_knyszyn@poczta.fm
309,10,Podlaski  OW NFZ,SZPITAL POWIATOWY W ZAMBROWIE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ZAMBRÓW,PAPIEŻA JANA PAWŁA II 3,862763600,sekretariat@szpitalzambrow.pl
310,11,Pomorski  OW NFZ,UNIWERSYTECKIE CENTRUM KLINICZNE,GDAŃSK,DĘBINKI 7,(058)349 20 00,amiecznikowska@uck.gda.pl
311,11,Pomorski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W CZŁUCHOWIE,CZŁUCHÓW,SZCZECIŃSKA 16,(059)834 24 59,jbielecka@spzoz-czluchow.pl 
312,11,Pomorski  OW NFZ,SZPITAL SPECJALISTYCZNY SŁUPSK,SŁUPSK,HUBALCZYKÓW 1,(059)846 06 00,p.brozyna@szpital.slupsk.pl
313,11,Pomorski  OW NFZ,SZPITAL SPECJALISTYCZNY IM.J.K.ŁUKOWICZA W CHOJNICACH,CHOJNICE,LEŚNA 10,(052)395 67 69,marketing@szpital.chojnice.pl
314,11,Pomorski  OW NFZ,115 SZPITAL WOJSKOWY Z PRZYCHODNIĄ SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W HELU,HEL,BOCZNA 10,(058)675 00 50,wioletta_schabowska@tlen.pl
315,11,Pomorski  OW NFZ,COPERNICUS PODMIOT LECZNICZY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,GDAŃSK,NOWE OGRODY 1-6,+48 58 302 30 31,mkulpan@copernicus.gda.pl
316,11,Pomorski  OW NFZ,SAMODZIELNY PUBLICZNY SPECJALISTYCZNY ZAKŁAD OPIEKI ZDROWOTNEJ,LĘBORK,JULIANA WĘGRZYNOWICZA 13,(059)863 53 25,sekretariat@szpital-lebork.home.pl
317,11,Pomorski  OW NFZ,SZPITALE POMORSKIE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SZPITAL ŚW. WINCENTEGO A PAULO ,GDYNIA,WÓJTA RADTKEGO 1,(058)726 01 19,kontraktowanie@szpitalepomorskie.eu
318,11,Pomorski  OW NFZ,SZPITALE POMORSKIE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SZPITAL SPECJALISTYCZNY IM. F CEYNOWY,WEJHEROWO,JAGALSKIEGO 10,(058)726 01 19,kontraktowanie@szpitalepomorskie.eu
319,11,Pomorski  OW NFZ,SZPITALE POMORSKIE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ POMORSKIE CENTRUM CHORÓB ZAKAŹNYCH I GRUŹLICY ,GDAŃSK,SMOLUCHOWSKIEGO 18,(058)726 01 19,kontraktowanie@szpitalepomorskie.eu
320,11,Pomorski  OW NFZ,7 SZPITAL MARYNARKI WOJENNEJ Z PRZYCHODNIĄ SPZOZ IMIENIA KONTRADMIRAŁA PROFESORA WIESŁAWA ŁASIŃSKIEGO W GDAŃSKU,GDAŃSK,POLANKI 117,+48 58 552 63 26,przychodnia@7szmw.pl
321,11,Pomorski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ MINISTERSTWA SPRAW WEWNĘTRZNYCH I ADMINISTRACJI W GDAŃSKU,GDAŃSK,KARTUSKA 4/6,(058)309 82 22,sekretariat@zozmswia.gda.pl 
322,11,Pomorski  OW NFZ,"NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ ""ZDROWIE""",KWIDZYN,GEN. JÓZEFA HALLERA 31,(055)645 83 00,elzbieta.jaworska@emc-sa.pl
323,11,Pomorski  OW NFZ,UNIWERSYTECKIE CENTRUM MEDYCYNY MORSKIEJ I TROPIKALNEJ,GDYNIA,POWSTANIA STYCZNIOWEGO 9B,(058)622 42 28,awosachlo@ucmmit.gdynia.pl
324,11,Pomorski  OW NFZ,SZPITAL IM. DR JADWIGI OBODZIŃSKIEJ-KRÓL W MALBORKU,MALBORK,ALEJA ARMII KRAJOWEJ 105/106,(055)646 02 64,iwona.sulewska@pcz.net.pl
325,11,Pomorski  OW NFZ,SZPITALE TCZEWSKIE,TCZEW,30-GO STYCZNIA 57/58,,murach.helena@szpitaletczewskiesa.pl
